"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"724","14:49:08,535802","192.168.200.103","192.168.200.77","49263","65001","HTTP/XML","699","POST / HTTP/1.1 "
"731","14:49:08,547249","192.168.200.77","192.168.200.103","65001","49263","HTTP/XML","865","HTTP/1.1 200 OK "
"740","14:49:08,565559","192.168.200.103","192.168.200.77","49264","65002","HTTP/XML","1729","POST /Printer1/WebServices HTTP/1.1 "
"751","14:49:08,581180","192.168.200.103","192.168.200.77","49266","65002","HTTP/XML","1082","POST /Printer1/WebServices HTTP/1.1 "
"755","14:49:08,590628","192.168.200.77","192.168.200.103","65002","49264","HTTP/XML","377","HTTP/1.1 200 OK "
"769","14:49:08,598472","192.168.200.77","192.168.200.103","65002","49266","HTTP/XML","563","HTTP/1.1 200 OK "
"773","14:49:08,598763","192.168.200.103","192.168.200.77","49268","65002","HTTP/XML","1728","POST /Printer1/WebServices HTTP/1.1 "
"788","14:49:08,612619","192.168.200.103","192.168.200.77","49270","65002","HTTP/XML","1077","POST /Printer1/WebServices HTTP/1.1 "
"799","14:49:08,616907","192.168.200.77","192.168.200.103","65002","49270","HTTP/XML","89","HTTP/1.1 200 OK "
"805","14:49:08,627053","192.168.200.77","192.168.200.103","65002","49268","HTTP/XML","377","HTTP/1.1 200 OK "
"811","14:49:08,628273","192.168.200.103","192.168.200.77","49272","65002","HTTP/XML","1252","POST /Printer1/WebServices HTTP/1.1 "
"826","14:49:08,643626","192.168.200.103","192.168.200.77","49274","65002","HTTP/XML","1730","POST /Printer1/WebServices HTTP/1.1 "
"853","14:49:08,670420","192.168.200.77","192.168.200.103","65002","49272","HTTP/XML","1235","HTTP/1.1 200 OK "
"864","14:49:08,689128","192.168.200.77","192.168.200.103","65002","49274","HTTP/XML","377","HTTP/1.1 200 OK "
"881","14:49:08,711086","192.168.200.103","192.168.200.77","49276","65002","HTTP/XML","1737","POST /Printer1/WebServices HTTP/1.1 "
"892","14:49:08,726710","192.168.200.77","192.168.200.103","65002","49276","HTTP/XML","377","HTTP/1.1 200 OK "
"906","14:49:08,737494","192.168.200.103","192.168.200.77","49278","65002","HTTP/XML","1719","POST /Printer1/WebServices HTTP/1.1 "
"913","14:49:08,754260","192.168.200.77","192.168.200.103","65002","49278","HTTP/XML","377","HTTP/1.1 200 OK "
"927","14:49:08,769326","192.168.200.103","192.168.200.77","49279","65002","HTTP/XML","1084","POST /Printer1/WebServices HTTP/1.1 "
"945","14:49:08,783816","192.168.200.77","192.168.200.103","65002","49279","HTTP/XML","866","HTTP/1.1 200 OK "
"962","14:49:08,789772","192.168.200.103","192.168.200.77","49281","65002","HTTP/XML","1006","POST /Printer1/WebServices HTTP/1.1 "
"974","14:49:08,831651","192.168.200.77","192.168.200.103","65002","49281","HTTP/XML","162","HTTP/1.1 200 OK "
"988","14:49:08,837694","192.168.200.77","192.168.200.103","18985","5357","HTTP/XML","1273","POST /90ebd481-4842-4092-beb7-5436846f55c5 HTTP/1.1 "
"1050","14:49:08,996100","192.168.200.103","192.168.200.77","5357","18985","HTTP","225","HTTP/1.1 202  "
"1058","14:49:09,004147","192.168.200.103","192.168.200.77","49283","65002","HTTP/XML","1006","POST /Printer1/WebServices HTTP/1.1 "
"1066","14:49:09,040170","192.168.200.77","192.168.200.103","65002","49283","HTTP/XML","162","HTTP/1.1 200 OK "
"1078","14:49:09,054493","192.168.200.77","192.168.200.103","18992","5357","HTTP/XML","1273","POST /90ebd481-4842-4092-beb7-5436846f55c5 HTTP/1.1 "
"1081","14:49:09,068663","192.168.200.103","192.168.200.77","5357","18992","HTTP","225","HTTP/1.1 202  "
"1732","14:50:25,266293","192.168.200.103","54.237.208.169","49294","80","HTTP","99","POST /multi_app.php?action=insert HTTP/1.0  (application/x-www-form-urlencoded)"
"1736","14:50:25,378521","54.237.208.169","192.168.200.103","80","49294","HTTP","213","HTTP/1.1 200 OK  (text/html)"
"2373","14:52:14,129987","192.168.200.77","192.168.200.103","35874","5357","HTTP/XML","1273","POST /90ebd481-4842-4092-beb7-5436846f55c5 HTTP/1.1 "
"2374","14:52:14,151879","192.168.200.103","192.168.200.77","5357","35874","HTTP","225","HTTP/1.1 202  "
"2383","14:52:14,372448","192.168.200.103","10.87.173.45","49298","7074","HTTP","256","GET /av64bit-eps/versions.id HTTP/1.1 "
"2388","14:52:14,375817","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","107","HTTP/1.1 200 OK "
"2390","14:52:14,513921","192.168.200.103","10.87.173.45","49298","7074","HTTP","276","GET /av64bit-eps_62629/avx/versions3.id.gzip HTTP/1.1 "
"2393","14:52:14,582602","10.87.173.45","192.168.200.103","7074","49298","HTTP","323","HTTP/1.1 200 OK  (text/plain)"
"2394","14:52:14,622219","192.168.200.103","10.87.173.45","49298","7074","HTTP","277","GET /av64bit-eps_62629/avx/versions3.dat.gzip HTTP/1.1 "
"2474","14:52:14,632214","10.87.173.45","192.168.200.103","7074","49298","HTTP","1241","HTTP/1.1 200 OK  (text/plain)"
"2475","14:52:14,678523","192.168.200.103","10.87.173.45","49298","7074","HTTP","277","GET /av64bit-eps_62629/avx/versions3.sig.gzip HTTP/1.1 "
"2479","14:52:14,738867","10.87.173.45","192.168.200.103","7074","49298","HTTP","629","HTTP/1.1 200 OK  (text/plain)"
"2487","14:52:15,191503","192.168.200.103","10.87.173.45","49298","7074","HTTP","266","GET /antiphishing_sig/versions.id HTTP/1.1 "
"2490","14:52:15,194849","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","107","HTTP/1.1 200 OK "
"2492","14:52:15,245250","192.168.200.103","10.87.173.45","49298","7074","HTTP","286","GET /antiphishing_sig_20706/avx/versions3.id.gzip HTTP/1.1 "
"2495","14:52:15,301267","10.87.173.45","192.168.200.103","7074","49298","HTTP","318","HTTP/1.1 200 OK  (text/plain)"
"2497","14:52:15,351351","192.168.200.103","10.87.173.45","49298","7074","HTTP","287","GET /antiphishing_sig_20706/avx/versions3.dat.gzip HTTP/1.1 "
"2501","14:52:15,410904","10.87.173.45","192.168.200.103","7074","49298","HTTP","1036","HTTP/1.1 200 OK  (text/plain)"
"2502","14:52:15,436627","192.168.200.103","10.87.173.45","49298","7074","HTTP","287","GET /antiphishing_sig_20706/avx/versions3.sig.gzip HTTP/1.1 "
"2505","14:52:15,504533","10.87.173.45","192.168.200.103","7074","49298","HTTP","631","HTTP/1.1 200 OK  (text/plain)"
"2509","14:52:15,598842","192.168.200.103","10.87.173.45","49298","7074","HTTP","270","GET /parental_light_sig/versions.id HTTP/1.1 "
"2518","14:52:15,905173","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","105","HTTP/1.1 200 OK "
"2524","14:52:16,165472","192.168.200.103","10.87.173.45","49298","7074","HTTP","268","GET /ot-eps-win-x86_64/versions.id HTTP/1.1 "
"2528","14:52:16,223489","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","106","HTTP/1.1 200 OK "
"2531","14:52:16,315758","192.168.200.103","10.87.173.45","49298","7074","HTTP","268","GET /wf-eps-win-x86_64/versions.id HTTP/1.1 "
"2534","14:52:16,319057","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","106","HTTP/1.1 200 OK "
"2537","14:52:16,415563","192.168.200.103","10.87.173.45","49298","7074","HTTP","258","GET /atc-sig-busi/versions.id HTTP/1.1 "
"2540","14:52:16,418875","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","106","HTTP/1.1 200 OK "
"2543","14:52:16,511079","192.168.200.103","10.87.173.45","49298","7074","HTTP","276","GET /atc-sig-busi_3812/avx/versions3.id.gzip HTTP/1.1 "
"2547","14:52:16,566863","10.87.173.45","192.168.200.103","7074","49298","HTTP","319","HTTP/1.1 200 OK  (text/plain)"
"2549","14:52:16,610783","192.168.200.103","10.87.173.45","49298","7074","HTTP","277","GET /atc-sig-busi_3812/avx/versions3.dat.gzip HTTP/1.1 "
"2552","14:52:16,613635","10.87.173.45","192.168.200.103","7074","49298","HTTP","263","HTTP/1.1 200 OK  (text/plain)"
"2554","14:52:16,640831","192.168.200.103","10.87.173.45","49298","7074","HTTP","277","GET /atc-sig-busi_3812/avx/versions3.sig.gzip HTTP/1.1 "
"2557","14:52:16,691977","10.87.173.45","192.168.200.103","7074","49298","HTTP","631","HTTP/1.1 200 OK  (text/plain)"
"2559","14:52:16,824244","192.168.200.103","10.87.173.45","49298","7074","HTTP","260","GET /guster_eps_64/versions.id HTTP/1.1 "
"2562","14:52:16,827583","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","105","HTTP/1.1 200 OK "
"2565","14:52:16,957292","192.168.200.103","10.87.173.45","49298","7074","HTTP","262","GET /gemma-business/versions.id HTTP/1.1 "
"2568","14:52:16,960586","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","105","HTTP/1.1 200 OK "
"2572","14:52:17,049320","192.168.200.103","10.87.173.45","49298","7074","HTTP","264","GET /ctc2-win-64-eps/versions.id HTTP/1.1 "
"2575","14:52:17,052612","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","105","HTTP/1.1 200 OK "
"2578","14:52:17,190680","192.168.200.103","10.87.173.45","49298","7074","HTTP","270","GET /eps6-win-config-64/versions.id HTTP/1.1 "
"2581","14:52:17,193978","10.87.173.45","192.168.200.103","7074","49298","HTTP/XML","105","HTTP/1.1 200 OK "
"2759","14:52:44,169186","192.168.200.77","192.168.200.103","35879","5357","HTTP/XML","1273","POST /90ebd481-4842-4092-beb7-5436846f55c5 HTTP/1.1 "
"2761","14:52:44,181112","192.168.200.103","192.168.200.77","5357","35879","HTTP","225","HTTP/1.1 202  "
"3322","14:54:23,597302","192.168.200.103","152.195.19.156","49302","80","HTTP","213","GET /infofiles/ac/appver-ac.upt HTTP/1.0 "
"3324","14:54:23,665872","152.195.19.156","192.168.200.103","80","49302","HTTP","1186","HTTP/1.0 200 OK "
"4220","14:56:49,490119","192.168.200.103","10.87.173.45","49303","7074","HTTP","256","GET /av64bit-eps/versions.id HTTP/1.1 "
"4223","14:56:49,493655","10.87.173.45","192.168.200.103","7074","49303","HTTP/XML","107","HTTP/1.1 200 OK "
"4226","14:56:49,635553","192.168.200.103","10.87.173.45","49303","7074","HTTP","276","GET /av64bit-eps_62629/avx/versions3.id.gzip HTTP/1.1 "
"4229","14:56:49,693751","10.87.173.45","192.168.200.103","7074","49303","HTTP","323","HTTP/1.1 200 OK  (text/plain)"
"4235","14:56:49,838333","192.168.200.103","10.87.173.45","49303","7074","HTTP","277","GET /av64bit-eps_62629/avx/versions3.dat.gzip HTTP/1.1 "
"4314","14:56:49,848444","10.87.173.45","192.168.200.103","7074","49303","HTTP","1241","HTTP/1.1 200 OK  (text/plain)"
"4316","14:56:49,958674","192.168.200.103","10.87.173.45","49303","7074","HTTP","277","GET /av64bit-eps_62629/avx/versions3.sig.gzip HTTP/1.1 "
"4319","14:56:50,021995","10.87.173.45","192.168.200.103","7074","49303","HTTP","629","HTTP/1.1 200 OK  (text/plain)"
"4323","14:56:50,315725","192.168.200.103","10.87.173.45","49303","7074","HTTP","336","GET /v1/patches/3/7/2/D/1733826778081b2044be3a4a27ab2bd1-372de72f1f2a3eed8511b63c765e4acf-aitok.cvd.gzip HTTP/1.1 "
"4327","14:56:50,318856","10.87.173.45","192.168.200.103","7074","49303","HTTP","60","HTTP/1.1 403 Forbidden "
"4336","14:56:50,459238","192.168.200.103","10.87.173.45","49304","7074","HTTP","335","GET /v1/patches/E/0/F/3/d48aa1b026aca30823789f19621cd387-e0f350f430a8a4885195fdbd033e66d6-amsi.xmd.gzip HTTP/1.1 "
"4340","14:56:50,462410","10.87.173.45","192.168.200.103","7074","49304","HTTP","60","HTTP/1.1 403 Forbidden "
"4345","14:56:50,528818","192.168.200.103","10.87.173.45","49305","7074","HTTP","335","GET /v1/patches/3/E/C/3/aa667bcb6bcb3146d44ef462a4d256f2-3ec3725bb74be073d34d2ebda243ebb0-auto.cvd.gzip HTTP/1.1 "
"4349","14:56:50,532105","10.87.173.45","192.168.200.103","7074","49305","HTTP","60","HTTP/1.1 403 Forbidden "
"4354","14:56:50,567383","192.168.200.103","10.87.173.45","49306","7074","HTTP","339","GET /v1/patches/6/D/5/2/294b6913cb26c27c466e10a1f3ca25e9-6d521a7633ed7b47d22de71dc38ee6d0-ceva_dll.cvd.gzip HTTP/1.1 "
"4358","14:56:50,570591","10.87.173.45","192.168.200.103","7074","49306","HTTP","60","HTTP/1.1 403 Forbidden "
"4363","14:56:50,620212","192.168.200.103","10.87.173.45","49307","7074","HTTP","339","GET /v1/patches/2/2/0/9/e7f135dadd9f73742f61a4d2179beb51-2209163873c0cd79e8ba8713fbbdc68e-ceva_vfs.cvd.gzip HTTP/1.1 "
"4367","14:56:50,623336","10.87.173.45","192.168.200.103","7074","49307","HTTP","60","HTTP/1.1 403 Forbidden "
"4372","14:56:50,685834","192.168.200.103","10.87.173.45","49308","7074","HTTP","339","GET /v1/patches/9/3/7/9/a92942f78b2b670721e058863c5e816b-937914f5aa50c48c01ab2ec668acce3e-cevakrnl.rv0.gzip HTTP/1.1 "
"4376","14:56:50,689022","10.87.173.45","192.168.200.103","7074","49308","HTTP","60","HTTP/1.1 403 Forbidden "
"4381","14:56:50,715982","192.168.200.103","10.87.173.45","49309","7074","HTTP","339","GET /v1/patches/5/6/5/C/b4b08deabc3b4951b1122cf7ed7eeb0a-565c8fe9fbe0355cefeb4534070e0236-cevakrnl.rv1.gzip HTTP/1.1 "
"4385","14:56:50,719151","10.87.173.45","192.168.200.103","7074","49309","HTTP","60","HTTP/1.1 403 Forbidden "
"4390","14:56:50,769270","192.168.200.103","10.87.173.45","49310","7074","HTTP","339","GET /v1/patches/C/A/D/5/2ce9a648d15efdd4ca89b27e9c2d0285-cad547603bdcbe00796d00bfd4e79164-cevakrnl.rv2.gzip HTTP/1.1 "
"4394","14:56:50,772434","10.87.173.45","192.168.200.103","7074","49310","HTTP","60","HTTP/1.1 403 Forbidden "
"4400","14:56:50,791069","192.168.200.103","10.87.173.45","49311","7074","HTTP","339","GET /v1/patches/5/4/A/B/e0475c661a7d6c85d185098061795b29-54ab3fb375dea81faa6e230250a4e8f0-cevakrnl.rv3.gzip HTTP/1.1 "
"4404","14:56:50,794347","10.87.173.45","192.168.200.103","7074","49311","HTTP","60","HTTP/1.1 403 Forbidden "
"4409","14:56:50,861800","192.168.200.103","10.87.173.45","49312","7074","HTTP","339","GET /v1/patches/5/1/3/6/69d342754cf69c45c10aa453311bafaa-513655f5ef9f241fa5d6549398d6be97-cevakrnl.rv4.gzip HTTP/1.1 "
"4413","14:56:50,864967","10.87.173.45","192.168.200.103","7074","49312","HTTP","60","HTTP/1.1 403 Forbidden "
"4419","14:56:50,928215","192.168.200.103","10.87.173.45","49313","7074","HTTP","339","GET /v1/patches/4/9/D/1/5143b98ab8589fb84d87da877a201ad3-49d15532261220731c1c6d27b52fd1f0-cevakrnl.rv5.gzip HTTP/1.1 "
"4423","14:56:50,931379","10.87.173.45","192.168.200.103","7074","49313","HTTP","60","HTTP/1.1 403 Forbidden "
"4429","14:56:50,994334","192.168.200.103","10.87.173.45","49314","7074","HTTP","339","GET /v1/patches/A/8/1/6/fc16de52cce523155408c732e9a0989d-a8160c7c00daa3c1ac2a387352762adb-cevakrnl.rv8.gzip HTTP/1.1 "
"4433","14:56:50,997529","10.87.173.45","192.168.200.103","7074","49314","HTTP","60","HTTP/1.1 403 Forbidden "
"4438","14:56:51,044041","192.168.200.103","10.87.173.45","49315","7074","HTTP","339","GET /v1/patches/B/E/B/F/0f8a37e1f916537b5a4f24ea849c6ebe-bebf6e90c65a8a6ca7d64412511013ef-cevakrnl.xmd.gzip HTTP/1.1 "
"4442","14:56:51,047346","10.87.173.45","192.168.200.103","7074","49315","HTTP","60","HTTP/1.1 403 Forbidden "
"4447","14:56:51,121741","192.168.200.103","10.87.173.45","49316","7074","HTTP","335","GET /v1/patches/4/4/5/9/118b77ef166161e7db642efec729ffd6-44595d70c5b771f56d8db5ca00e6f29c-cran.ivd.gzip HTTP/1.1 "
"4451","14:56:51,124948","10.87.173.45","192.168.200.103","7074","49316","HTTP","60","HTTP/1.1 403 Forbidden "
"4456","14:56:51,184397","192.168.200.103","10.87.173.45","49317","7074","HTTP","338","GET /v1/patches/7/5/1/7/edc97cf109141c936f4035d313da014a-7517c5f1ec0e035756d7a1d241a3e06a-docfile.xmd.gzip HTTP/1.1 "
"4460","14:56:51,187489","10.87.173.45","192.168.200.103","7074","49317","HTTP","60","HTTP/1.1 403 Forbidden "
"4465","14:56:51,216005","192.168.200.103","10.87.173.45","49318","7074","HTTP","337","GET /v1/patches/8/9/E/6/3257f3be4287320e4fb7e48a5b33aeb7-89e6f92022b5417a247e31dcd4c99a8c-e_spyw.cvd.gzip HTTP/1.1 "
"4469","14:56:51,219279","10.87.173.45","192.168.200.103","7074","49318","HTTP","60","HTTP/1.1 403 Forbidden "
"4475","14:56:51,278229","192.168.200.103","10.87.173.45","49319","7074","HTTP","337","GET /v1/patches/4/4/4/F/49f21e443acdcfb233267cd463c3614d-444ffa73a5b5166bd994f6863987a3a5-e_spyw.i00.gzip HTTP/1.1 "
"4479","14:56:51,281662","10.87.173.45","192.168.200.103","7074","49319","HTTP","60","HTTP/1.1 403 Forbidden "
"4484","14:56:51,344823","192.168.200.103","10.87.173.45","49320","7074","HTTP","337","GET /v1/patches/D/0/5/1/4b8211daa1ed74503060dd2b8685a6de-d0513625068278e3de6dde8748ff84d2-e_spyw.i01.gzip HTTP/1.1 "
"4488","14:56:51,348168","10.87.173.45","192.168.200.103","7074","49320","HTTP","60","HTTP/1.1 403 Forbidden "
"4493","14:56:51,394485","192.168.200.103","10.87.173.45","49321","7074","HTTP","337","GET /v1/patches/7/F/6/8/ac1d74c8a1906ea72471ae84a7830001-7f6822b8da75eca19e3538b23b0d7282-e_spyw.i02.gzip HTTP/1.1 "
"4498","14:56:51,397626","10.87.173.45","192.168.200.103","7074","49321","HTTP","60","HTTP/1.1 403 Forbidden "
"4504","14:56:51,452306","192.168.200.103","10.87.173.45","49322","7074","HTTP","337","GET /v1/patches/3/4/8/8/a5bf55cd5c0ba5d8405326f72467b426-3488825992c52cd46e447fb975b8b69a-e_spyw.i03.gzip HTTP/1.1 "
"4508","14:56:51,455543","10.87.173.45","192.168.200.103","7074","49322","HTTP","60","HTTP/1.1 403 Forbidden "
"4514","14:56:51,518142","192.168.200.103","10.87.173.45","49323","7074","HTTP","337","GET /v1/patches/6/2/A/2/663d9676f779841508e81b921a2a0ce6-62a298e4ba3b3ba5a69ec73761393fef-e_spyw.i04.gzip HTTP/1.1 "
"4518","14:56:51,521280","10.87.173.45","192.168.200.103","7074","49323","HTTP","60","HTTP/1.1 403 Forbidden "
"4523","14:56:51,569266","192.168.200.103","10.87.173.45","49324","7074","HTTP","337","GET /v1/patches/F/6/7/E/22286e9ce43550e9c589d8bebedef39b-f67eabccc6919553eb08d3e2a39a6dff-e_spyw.i05.gzip HTTP/1.1 "
"4527","14:56:51,572320","10.87.173.45","192.168.200.103","7074","49324","HTTP","60","HTTP/1.1 403 Forbidden "
"4532","14:56:51,598345","192.168.200.103","10.87.173.45","49325","7074","HTTP","337","GET /v1/patches/B/D/1/E/adb9005e52e40bb92bd4c66e3b70decd-bd1ede48ead5997bd79cac874fd8260c-e_spyw.i06.gzip HTTP/1.1 "
"4536","14:56:51,601514","10.87.173.45","192.168.200.103","7074","49325","HTTP","60","HTTP/1.1 403 Forbidden "
"4541","14:56:51,615453","192.168.200.103","10.87.173.45","49326","7074","HTTP","337","GET /v1/patches/2/2/7/7/89f56a76be982045f3b6c67e2e041d85-22775ac9f3cd95653c5019054d959b28-e_spyw.i07.gzip HTTP/1.1 "
"4545","14:56:51,618811","10.87.173.45","192.168.200.103","7074","49326","HTTP","60","HTTP/1.1 403 Forbidden "
"4550","14:56:51,679112","192.168.200.103","10.87.173.45","49327","7074","HTTP","337","GET /v1/patches/5/5/F/1/7f91ad15f29c8be51b5153a55085492e-55f12047ad52be0ae0813ee1a0aed7bd-e_spyw.i08.gzip HTTP/1.1 "
"4554","14:56:51,682283","10.87.173.45","192.168.200.103","7074","49327","HTTP","60","HTTP/1.1 403 Forbidden "
"4559","14:56:51,718968","192.168.200.103","10.87.173.45","49328","7074","HTTP","337","GET /v1/patches/A/0/1/F/b05bb39b01abf3b97c6a221643638520-a01f66133c7f11054af4af5f6996cc74-e_spyw.i09.gzip HTTP/1.1 "
"4563","14:56:51,722111","10.87.173.45","192.168.200.103","7074","49328","HTTP","60","HTTP/1.1 403 Forbidden "
"4568","14:56:51,752668","192.168.200.103","10.87.173.45","49329","7074","HTTP","337","GET /v1/patches/2/F/7/5/d6b797e80fd0839420645464285c0585-2f75c9e869a87c1e8c404497907c1190-e_spyw.i10.gzip HTTP/1.1 "
"4572","14:56:51,755792","10.87.173.45","192.168.200.103","7074","49329","HTTP","60","HTTP/1.1 403 Forbidden "
"4577","14:56:51,819729","192.168.200.103","10.87.173.45","49330","7074","HTTP","337","GET /v1/patches/8/A/1/2/2cb29465bdac6002d22f3f8bbe90894a-8a1260910f96faf6df54908ad30236ec-e_spyw.i11.gzip HTTP/1.1 "
"4581","14:56:51,822982","10.87.173.45","192.168.200.103","7074","49330","HTTP","60","HTTP/1.1 403 Forbidden "
"4586","14:56:51,875098","192.168.200.103","10.87.173.45","49331","7074","HTTP","337","GET /v1/patches/9/3/F/E/c29d00ac698b749de57f1bd131a478b4-93febfb91cdce42aeebd9896110aa2c5-e_spyw.i12.gzip HTTP/1.1 "
"4590","14:56:51,878279","10.87.173.45","192.168.200.103","7074","49331","HTTP","60","HTTP/1.1 403 Forbidden "
"4595","14:56:51,946662","192.168.200.103","10.87.173.45","49332","7074","HTTP","337","GET /v1/patches/D/6/B/2/bf0de6ad67c9154df8a6d61a719796aa-d6b2b2af7c92558df2eb47cca0b789b3-e_spyw.i13.gzip HTTP/1.1 "
"4599","14:56:51,949813","10.87.173.45","192.168.200.103","7074","49332","HTTP","60","HTTP/1.1 403 Forbidden "
"4605","14:56:52,064119","192.168.200.103","10.87.173.45","49333","7074","HTTP","337","GET /v1/patches/C/1/3/3/1c28cd33ce52a33f4f355437e6402342-c133692476fbb79430052bfeac6af9ba-e_spyw.i14.gzip HTTP/1.1 "
"4609","14:56:52,067318","10.87.173.45","192.168.200.103","7074","49333","HTTP","60","HTTP/1.1 403 Forbidden "
"4614","14:56:52,080482","192.168.200.103","10.87.173.45","49334","7074","HTTP","337","GET /v1/patches/F/B/F/E/a2e2f40407f213996fb1481e1660a72b-fbfe3a849e282f7b1c2be0cd268eee74-e_spyw.i15.gzip HTTP/1.1 "
"4618","14:56:52,083477","10.87.173.45","192.168.200.103","7074","49334","HTTP","60","HTTP/1.1 403 Forbidden "
"4623","14:56:52,088836","192.168.200.103","10.87.173.45","49335","7074","HTTP","337","GET /v1/patches/B/9/E/A/7cf74f5bf5c3f6ce96b97374956694fc-b9eaeb6045b91898f4022a0f13b3ec57-e_spyw.i16.gzip HTTP/1.1 "
"4627","14:56:52,091965","10.87.173.45","192.168.200.103","7074","49335","HTTP","60","HTTP/1.1 403 Forbidden "
"4632","14:56:52,096946","192.168.200.103","10.87.173.45","49336","7074","HTTP","337","GET /v1/patches/0/4/F/0/6f58dfaf84fc47e6f5d446ad11d1226f-04f005bfc8018e083583695d658ed7f0-e_spyw.i17.gzip HTTP/1.1 "
"4636","14:56:52,100087","10.87.173.45","192.168.200.103","7074","49336","HTTP","60","HTTP/1.1 403 Forbidden "
"4641","14:56:52,106449","192.168.200.103","10.87.173.45","49337","7074","HTTP","337","GET /v1/patches/1/5/7/1/e327e709d84564fa9092f96b9136d803-1571d420ddf3b3f62b53cbe2e0dbfcb5-e_spyw.i18.gzip HTTP/1.1 "
"4645","14:56:52,109523","10.87.173.45","192.168.200.103","7074","49337","HTTP","60","HTTP/1.1 403 Forbidden "
"4650","14:56:52,114436","192.168.200.103","10.87.173.45","49338","7074","HTTP","337","GET /v1/patches/A/5/6/C/bf3243d36b339f92a61fe9ebd623153e-a56cd645bbd8e30ae2e0d2b948fbcb8b-e_spyw.i19.gzip HTTP/1.1 "
"4654","14:56:52,117477","10.87.173.45","192.168.200.103","7074","49338","HTTP","60","HTTP/1.1 403 Forbidden "
"4659","14:56:52,123012","192.168.200.103","10.87.173.45","49339","7074","HTTP","337","GET /v1/patches/9/C/E/7/455f392c73dc86d06e9e84fc85ed9215-9ce7cc6ac24349e5014d6f7a04162872-e_spyw.i20.gzip HTTP/1.1 "
"4663","14:56:52,126283","10.87.173.45","192.168.200.103","7074","49339","HTTP","60","HTTP/1.1 403 Forbidden "
"4668","14:56:52,130434","192.168.200.103","10.87.173.45","49340","7074","HTTP","337","GET /v1/patches/8/C/E/7/e9d7ba9b56092c3ebf8d557f02e4c512-8ce72de69205221467222531017d2ae7-e_spyw.i21.gzip HTTP/1.1 "
"4672","14:56:52,133629","10.87.173.45","192.168.200.103","7074","49340","HTTP","60","HTTP/1.1 403 Forbidden "
"4677","14:56:52,138712","192.168.200.103","10.87.173.45","49341","7074","HTTP","337","GET /v1/patches/E/A/1/7/a2f595beee5e667fe0308f0a626ab169-ea17463054849b2a3c718f23c6349d2b-e_spyw.i22.gzip HTTP/1.1 "
"4681","14:56:52,141829","10.87.173.45","192.168.200.103","7074","49341","HTTP","60","HTTP/1.1 403 Forbidden "
"4686","14:56:52,153258","192.168.200.103","10.87.173.45","49342","7074","HTTP","337","GET /v1/patches/E/C/A/4/b91aaefda053f8b861f3cea7e3d9993b-eca4157bfa69d9efb7801496db24cd64-e_spyw.i23.gzip HTTP/1.1 "
"4690","14:56:52,156293","10.87.173.45","192.168.200.103","7074","49342","HTTP","60","HTTP/1.1 403 Forbidden "
"4695","14:56:52,164483","192.168.200.103","10.87.173.45","49343","7074","HTTP","337","GET /v1/patches/4/E/F/6/ddc3ab4793366cb3526f31a2716da033-4ef6ab2045f1375ff3405e44e1e200dc-e_spyw.i24.gzip HTTP/1.1 "
"4699","14:56:52,167556","10.87.173.45","192.168.200.103","7074","49343","HTTP","60","HTTP/1.1 403 Forbidden "
"4704","14:56:52,172458","192.168.200.103","10.87.173.45","49344","7074","HTTP","337","GET /v1/patches/E/2/B/0/70dca1da69b3bb6f6c69d4b265049835-e2b0f4344348d901e38fadb8adff957f-e_spyw.i25.gzip HTTP/1.1 "
"4708","14:56:52,175511","10.87.173.45","192.168.200.103","7074","49344","HTTP","60","HTTP/1.1 403 Forbidden "
"4713","14:56:52,181114","192.168.200.103","10.87.173.45","49345","7074","HTTP","337","GET /v1/patches/B/E/F/1/aa7dc5577a898c627efaa4bd165743c2-bef11dd5e9cb747bc4b09d1c0e0e1418-e_spyw.i26.gzip HTTP/1.1 "
"4717","14:56:52,184301","10.87.173.45","192.168.200.103","7074","49345","HTTP","60","HTTP/1.1 403 Forbidden "
"4722","14:56:52,189085","192.168.200.103","10.87.173.45","49346","7074","HTTP","337","GET /v1/patches/B/9/4/B/278822eeb1ce2120d236faff4586954e-b94b1794d3a37d6a56bc1bc66a965817-e_spyw.i27.gzip HTTP/1.1 "
"4726","14:56:52,192250","10.87.173.45","192.168.200.103","7074","49346","HTTP","60","HTTP/1.1 403 Forbidden "
"4731","14:56:52,197494","192.168.200.103","10.87.173.45","49347","7074","HTTP","337","GET /v1/patches/9/2/F/F/1befa5866e999e4e0f31eb6ab27229e3-92ff358c8a95dab4d10c40687e15e47b-e_spyw.i28.gzip HTTP/1.1 "
"4735","14:56:52,200657","10.87.173.45","192.168.200.103","7074","49347","HTTP","60","HTTP/1.1 403 Forbidden "
