"No.","Time","Source","Destination","Src. Port","Dst. Port","Protocol","Length","Info"
"147626","14:58:28,007745","192.168.200.103","10.87.173.45","49566","7074","HTTP","289","GET /av64bit-eps_62629/avx/Plugins/tkngrul_js_01.cvd.gzip HTTP/1.1 "
"147631","14:58:28,069488","10.87.173.45","192.168.200.103","7074","49566","HTTP","251","HTTP/1.1 200 OK  (text/plain)"
"147633","14:58:28,223854","192.168.200.103","10.87.173.45","49566","7074","HTTP","289","GET /av64bit-eps_62629/avx/Plugins/tkngrul_vb_01.cvd.gzip HTTP/1.1 "
"147636","14:58:28,288169","10.87.173.45","192.168.200.103","7074","49566","HTTP","293","HTTP/1.1 200 OK  (text/plain)"
"147638","14:58:28,372733","192.168.200.103","10.87.173.45","49566","7074","HTTP","283","GET /av64bit-eps_62629/avx/Plugins/tknscan.cvd.gzip HTTP/1.1 "
"147864","14:58:28,393658","10.87.173.45","192.168.200.103","7074","49566","HTTP","1278","HTTP/1.1 200 OK  (text/plain)"
"147868","14:58:28,613973","192.168.200.103","10.87.173.45","49566","7074","HTTP","282","GET /av64bit-eps_62629/avx/Plugins/update.txt.gzip HTTP/1.1 "
"147872","14:58:28,678740","10.87.173.45","192.168.200.103","7074","49566","HTTP","186","HTTP/1.1 200 OK  (text/plain)"
"147874","14:58:28,792594","192.168.200.103","10.87.173.45","49566","7074","HTTP","281","GET /av64bit-eps_62629/avx/Plugins/vbaid.cvd.gzip HTTP/1.1 "
"147933","14:58:28,800436","10.87.173.45","192.168.200.103","7074","49566","HTTP","1263","HTTP/1.1 200 OK  (text/plain)"
"147935","14:58:28,996568","192.168.200.103","10.87.173.45","49566","7074","HTTP","281","GET /av64bit-eps_62629/avx/Plugins/vbtok.cvd.gzip HTTP/1.1 "
"148102","14:58:29,012634","10.87.173.45","192.168.200.103","7074","49566","HTTP","633","HTTP/1.1 200 OK  (text/plain)"
"148107","14:58:29,212675","192.168.200.103","10.87.173.45","49566","7074","HTTP","277","GET /av64bit-eps_62629/avx/smartdbv2.dat.gzip HTTP/1.1 "
"201908","14:58:33,752085","10.87.173.45","192.168.200.103","7074","49566","HTTP","1311","HTTP/1.1 200 OK  (text/plain)"
"202489","14:59:43,587297","192.168.200.103","10.87.173.45","49588","7074","HTTP","266","GET /antiphishing_sig/versions.id HTTP/1.1 "
"202492","14:59:43,590821","10.87.173.45","192.168.200.103","7074","49588","HTTP/XML","107","HTTP/1.1 200 OK "
"202494","14:59:43,715779","192.168.200.103","10.87.173.45","49588","7074","HTTP","286","GET /antiphishing_sig_20706/avx/versions3.id.gzip HTTP/1.1 "
"202497","14:59:43,780888","10.87.173.45","192.168.200.103","7074","49588","HTTP","318","HTTP/1.1 200 OK  (text/plain)"
"202499","14:59:43,842180","192.168.200.103","10.87.173.45","49588","7074","HTTP","287","GET /antiphishing_sig_20706/avx/versions3.dat.gzip HTTP/1.1 "
"202502","14:59:43,890450","10.87.173.45","192.168.200.103","7074","49588","HTTP","1036","HTTP/1.1 200 OK  (text/plain)"
"202504","14:59:43,989156","192.168.200.103","10.87.173.45","49588","7074","HTTP","287","GET /antiphishing_sig_20706/avx/versions3.sig.gzip HTTP/1.1 "
"202507","14:59:44,046604","10.87.173.45","192.168.200.103","7074","49588","HTTP","631","HTTP/1.1 200 OK  (text/plain)"
"202509","14:59:44,139526","192.168.200.103","10.87.173.45","49588","7074","HTTP","344","GET /v1/patches/F/B/C/B/8949e53bd43e69801c5cfc10b501c466-fbcb11e4120d66ca7723623bd4676b97-ph_white.dat.gzip HTTP/1.1 "
"202513","14:59:44,142482","10.87.173.45","192.168.200.103","7074","49588","HTTP","60","HTTP/1.1 403 Forbidden "
